"","AlternTouch","AlternPartnr","Intention","Perception","Location"
"153",NA,NA,"Before sleep hug (but it felt awkward)","new relationship, I wasn't comfortable with the implications behind the touch, too intimate","In bed"
"154",NA,NA,"It was designed to indicate familiarity and also recognition.","It was a false reaction from the other person.","The situation took place at a meal out in a local restaurant. The situation took place while I was chatting to another member of the party."
"155",NA,NA,"Greeting","Felt patronising","a meeting at work, in a formal setting. As we were at the beginning of the meeting and chatting to colleagues, i approached someone who i had never met, said my name and offered my hand out to shake. The person then took the ends of my fingers and shook those rather than the hole hand."
"156",NA,NA,"Affection","No need to touch so much","In bed"
"157",NA,NA,"To help tie up my apron","Because I wanted to leave and I was forced to stay and talk although I was annoyed and needed time","Standing behind the coffee counter at work"
"158",NA,NA,"To cause harm","I don't feel comfortable with shoulder touch","On a mental health ward from a patient to a member of staff."
"159",NA,NA,"Greeting","It was awkward","During interview"
"160",NA,NA,"To show that they had a romantic interest in me","it hurt and i felt like an 'object', ruined the whole 'intimacy' of sex","I was at a bar and a stranger came up to me and kept trying to talk to me, even though I informed in that I wasn’t interested as I had a partner he kept trying and then reached for my arm and started to kind of stroke it"
"161",NA,NA,"To lead to sex","Quite firm and not gentle","In bed while I was asleep"
"162",NA,NA,"To say goodbye","I did not consider the person close enough to me to touch me in that way","In my house hallway as he was leaving"
"163",NA,NA,"a friendly side hug","Unexpected","in a bar drinking with friends."
"164",NA,NA,"To say hello","They pressed hard on my shoulder","In the kitchen"
"165",NA,NA,"Care","I didn't know the person. Threat","Home."
"166",NA,NA,"To greet","It was rather clumsy","Greeting in work"
"167",NA,NA,"Too start a hug","Fear of contracting covid","At work getting coffee"
"168",NA,NA,"To get a reaction","i felt unwell","In a restaurant ordering drinks"
"169",NA,NA,"To connect with me","I wasn't expecting it to happen","At a pub"
"170",NA,NA,"hurt","Because i got sucker punched in the face by somebody stealing my stuff","in the kitchen at home"
"171",NA,NA,"Introduction","if they asked I would have happily moved, there was no need to almost knock me over.","In a bar"
"172",NA,NA,"To say hello and Merton dach other","Didn’t really want to shake hands","On a street"
"173",NA,NA,"express attraction","I didnt want to be physically close to someone I didn't know","sitting on the floor of her bedroom"
"174",NA,NA,"To show sympathy","Wasn’t wanted or expected","Outside the office"
"175",NA,NA,"Reassurance","adjertated","At work my manager touched my arm to reassure me"
"176",NA,NA,"To pass a biscuit","I dislike handshakes due to covid risks","Sat next to each other at desks"
"177",NA,NA,"To call for attention and to talk","I did not want this to happen I barely knew the person","Standing in our bedroom"
"178",NA,NA,"Friendly","Doubt whether touch was acceptable","Sitting on smoking area in the university campus"
"179",NA,NA,"Greeting","It was unwanted and I wasn't happy about that person's behaviour that day","It was in a cafe standing up ready to get a coffee and it was a greeting"
"180",NA,NA,"for pleasure? during intercourse","Always over squeezing","in my room, on my bed"
"181",NA,NA,"Friendly","new acquaintance","In the workplace, office environment"
"182",NA,NA,"A sign of friendliness","because it was not normal interaction with us","In office at work, standing near the doorway during a group discussion"
"183",NA,NA,"Trying to be funny","It was a stranger","Standing talking to other people in corridor"
"184",NA,NA,"I believe it was meant to be a little nudge after a joke was made.","Too much touching","Standing in the kitchen"
"185",NA,NA,"To convey friendship","It make me feel awkward and uncomfortable.","I was in a public house stood up and approached"
"186",NA,NA,"Support","Because of the force used","In a restaurant, having an afternoon lunch"
"187",NA,NA,"Saying hello","I wasn't interested, wrong time, I didn't feel well, reminded MD of his expectations & my lack of interest.","I was at the door going into a friends house"
"188",NA,NA,"greeting","Because he did not have my permission and I didn’t want it, and the fact he was a colleague. It made me feel very uncomfortable","at a family reunion"
"189",NA,NA,"Showing solidarity at work","I wasnt interested","at my desk at work"
"190",NA,NA,"To steal my stuff","It was unexpected and I was taken aback.","Walking home from a night out early in the morning"
"191",NA,NA,"to get past me as quickly as possible","It made me feel uncomfortable that another person was touching me.","I was just dancing in a club"
"192",NA,NA,"To greet each other","Painful and overwhelming side effects","In a work environment"
"193",NA,NA,"Having a laugh","I just wasn’t expecting it","At a wedding, near the bar"
"194",NA,NA,"Friendliness I suppose","We had been arguing","In the street where other people were standing"
"195",NA,NA,"affection","I made it clear I was not interested multiple times and they still insisted on touching me.","sitting on the bench at the park"
"196",NA,NA,"Handshake - general greeting","Unexpected, no consent, uncomfortable","At at place of work"
"197",NA,NA,"Die sky goodbye hug","Unwated","I was working and had nipped in to a clients business I spent around 15 minutes there talking to her whilst she was serving customers at the end as I’ve gone to leave she’s hugged me goodbye"
"198",NA,NA,"Affection","Because he was trying to break out of the restraint","Having drink in local pub, sat at table, outside."
"199",NA,NA,"To fulfil some sexual gratification on their part","We’re not close enough for him to touch me","Sitting on the sofa in my house"
"200",NA,NA,"A greeting","Because I felt awkward","Meeting at a pub"
"201",NA,NA,"thanks for a meal","Comfort","out door restaurant"
"202",NA,NA,"to get my attention","Felt very patronising","work"
"203",NA,NA,"accidental, I think","I felt we were better acquainted and was hoping to have a hug","On the bus"
"204",NA,NA,"Comfort","Because it hurt and I couldn't breathe","Sitting on sofa"
"205",NA,NA,"To say goodbye","because the visit was sprung upon me just before i was about to shower so i felt unclean and only like to hug if im wearing perfume and clean","Leaving their house in the doorway"
"206",NA,NA,"To stop me moving","I had a deep dislike and disrespect for them but they were a superior","An intoxicated stranger stopping me on the street because they thought they knew me"
"207",NA,NA,"To start sex","did not feel right","In bed in the minting"
"208",NA,NA,"To show interest","Being kissed in the ear is really loud and painful","Both sat at computers, at college"
"209",NA,NA,"Flirting","It did not last long.","outside a bar"
"210",NA,NA,"To console","Unclean hand","Sitting with other people round a table"
"211",NA,NA,"I think it was an accident","No","Sitting on a train facing another person and their knee accidentally hit mine"
"212",NA,NA,"Therapeutic","It was unwanted","Office"
"213",NA,NA,"A meeting handshake","It was from a colleague while on duty. I felt uncomfortable as sexual acts on shift risks my job and the affection wasn't wanted.","At the office, stood up and meeting a collègue for the first time"
"214",NA,NA,"To reassure and hug","The other person gripped my hand too hard and too long","At home in the kitchen"
"215",NA,NA,"Most likely to be flirtatious","It was unwanted on my behalf.","Sitting in my bedroom"
"216",NA,NA,"To get my attention","Didn't know them","While I was at work in a supermarket filling a shelf."
"217",NA,NA,"Greeting","Because I really dislike this person","Job interview"
"218",NA,NA,"To keep him safe when he was aggressive","There is a poor relationship. It felt disengenuine and cold.","On the street at the end of a school trip"
"219",NA,NA,"Greeting","Inapropiate at work","On the dance floor in a bar"
"220",NA,NA,"Handshake","I was busy at the time","I was at work in front of my computer"
"221",NA,NA,"I took a bad call at work","because we ended our arguments with the hand shake","Sat in my bosses office"
"222",NA,NA,"To attempt to congratulate","It was short and not as intended","Workplace"
"223",NA,NA,"To greet me","I've never really liked handshakes, they seem so conventionalised and perfunctory as to be pointless. But at the same time an overly intimate thing to be doing with people who are often strangers. And since covid and our collective preoccupation with hand washing etc. it really does seem an odd thing to be doing. There's also this idea that some people think they can make meaningful judgements of another based on their handshake which is more or less nonsense (it's not going to tell you anything a couple of minutes in their company won't tell you) which makes the experience a bit anxiety inducing. And i often get clammy hands, as in this case, which I don't want to be sharing with others.","At my workplace in a different department. We worked together in the past but now work in different departments"
"224",NA,NA,"Aggresive","Made me feel awkward, uncomfortable, self-conscious, overly aware of myself and my behaviour","At his house with some friends"
"225",NA,NA,"a hug goodbye","The person who put their arm around my shoulder had just spoken to me in a negative, dismissive manner","in my house in our hallway"
"226",NA,NA,"Professionalism","Was annoyed at what had been said","After a grossly insulting interaction in a meeting, where he used his status to insult me openly"
"227",NA,NA,"cuddle","I was unwanted","sitting in the garden"
"228",NA,NA,"My son wanted to kiss me in the ear and cause a reaction","It was prolonged and I felt awkward","Reading a bedtime story in bed"
"229",NA,NA,"Spontaneous hug","I was about to lose my job!","Sitting at home"
"230",NA,NA,"Greeting","i felt he did not need to touch me; he should have asked me to move","shaking hands in a car park"
"231",NA,NA,"Greeting","no","After sports game"
"232",NA,NA,"Greeting","Made me uncomfortable","Standing on a street"
"233",NA,NA,"Flirtation","I am only open to being friends.","Sitting in a car. Myself in driver seat. Partner in passenger seat."
"234",NA,NA,"to shake hands and say hello","i feel negatively towards my partner generally","An old colleague who did not like me cam in to my work site and said hello to me and shuck my hand. I suppose he was trying to show dominance by squeezing my hand and not letting go but I said in a loud voice 'why are you trying to hurt my hand? we are not friends'. He let go before I got angry"
"235",NA,NA,"A friendly gesture","it was rejective","In the bathroom at a supermarket"
"236",NA,NA,"To dance","unwanted","In a club on the dancefloor"
"237",NA,NA,"To show a sign of no malice between us","because they were doing it to make me feel better about bad news","When walking into the entrance of the company's head office"
"238",NA,NA,"To display affection.","Because the person shaking my hand was aggressive and unfriendly","Standing up, in the door of my parent's house."
"239",NA,NA,"A joke","I dislike anyone grabbing my shoulder","at work in the office"
"240",NA,NA,"Affection","Because I hate being hugged, even worse when it’s a drunk person I barely know","While sitting on the sofa. I was completing a work assignment on my laptop"
"241",NA,NA,"we were having an argument and just with lothsome we shake each other hands","I am still worried about the passing of germs following the pandemic where most people refrained from unnecessary touch such as handshakes. This was the first I have experienced since then and it really made me anxious and feel like I had germs, even though in my head I knew the person was healthy.","in our bed room"
"242",NA,NA,"Friendship","no","at work in a corridor"
"243",NA,NA,"A greeting","I didn't really want to have physical contact of any kind with this person but they initiated it and I did not want to seem rude or hostile by refusing.","In an office, initially sitting but standing up for the handshake"
"244",NA,NA,"Greeting","I don't like being hugged, as I get older I am better at telling people this, but they insisted on hugging me anyway.","Meeting strangers at an event held in a church"
"245",NA,NA,"to appear friendly","It was disingenuous","standing in my garden with other family members"
"246",NA,NA,"Possibly to comfort","i am not a fan of hugs from work colleagues, it was unexpected and awkward.","At a meeting taking place at the school with 2 other members of staff. Got upset"
"247",NA,NA,"Unsure","it lasted too long and was too intimate","In a club at the bar"
"248",NA,NA,"They were talking to me","uncomfortable","It occurred at a networking event"
"249",NA,NA,"comfort","yes","In an office I was about to be made redundant!"
"250",NA,NA,"to get around me as i was in his way","I don't like my space invaded suddenly","It was in the supermarket as I was waiting in the queue"
"251",NA,NA,"formal way of saying hello","she squeezed and groped my glutes","workplace"
"252",NA,NA,"To make contact","When I'm stressed, I don't really like to be touched, but my partner does like to be touched when she's stressed so I think she assumes the same of me.","Sat in an auditorium listening to a seminar"
"253",NA,NA,"The friend assumed that I would be amenable to a romantic kiss.","Unfamiliar with the person to have level of personal touch","Train station as I was ready to head home."
"254",NA,NA,"to comfort pain","Unexpected","standing in the kitchen by the oven"
"255",NA,NA,"alienation","I don't like being touched by strangers","standing in the kitchen"
"256",NA,NA,"flirty","Because I don’t like the person","dance floor at a wedding"
"257",NA,NA,"to comfort me while giving me bad news","I felt it was inappropriate","I was standing in my office at work"
"258",NA,NA,"As a greeting","alittle","In my office at work."
"259",NA,NA,"to show friendiness","Poorly executed","on the street, just walking along"
"260",NA,NA,"To hug and say goodbye","Because I didn't like it","Leaving the pub with friends"
"261",NA,NA,"Greeting","Very limp and disappointing","In an interview room just after I had entered the door before I sat down"
"262",NA,NA,"cordial","Because I am sexually attracted to that colleague and it made me think/want things I shouldn't","on a sofa at home"
"263",NA,NA,"a greeting","It made me feel trapped as I was seated at the time.","In an office"
"264",NA,NA,"Friendly gesture as hadn't seen in a long time","Because it wasn't meant to happen, we were dodging left and right and then suddenly this happeend","We were at a friends house, so neither me or the other person lived there."
"265",NA,NA,"To mark the end of an encounter","Don't feel close enough to the person for them to touch me","On court, after a match"
"266",NA,NA,"to be friendly","Because it involved a body part that I do not like other people to touch and it made me uncomfortable","In the office, which is a large open plan and very busy place."
"267",NA,NA,"a greeting","he has such a limp unmanly handshake - I had forgotten how awful it is","standing outside a hotel"
"268",NA,NA,"As a form of greeting","I just hate when people touch me on my shoulders i just dont know but when someone touches me on the shoulder i just get really annoyed and sometimes angry but i don't show it","Outside a nightclub"
"269",NA,NA,"not sure","Because my partner had wet lips","meeting outside standing up"
"270",NA,NA,"Friendly","The handshake is too flaccid and the abruptly pulled way while we were in middle of the handshake.","At work behind the counter."
"271",NA,NA,"older woman was trying to show she was happy with my work","They were not a nice person.","I was delivering packages then gave a woman her packet then she told me a story i agreed then she hugged me in her garden and groped me"
"272",NA,NA,"For comfort when I was stressed.","Because they were a stranger","standing up in the kitchen of my flat."
"273",NA,NA,"Greeting","I did not feel any affection towards this person","Standing in a group of people meeting outdoors"
"274",NA,NA,"Fun","Because it made me feel uncomfortable knowing that he fancies me and I don't feel the same way so didn't appreciate him keep trying to put his arm round my shoulder","In the bedroom packing a bag"
"275",NA,NA,"to help communication","I wasn't expecting it and it is a bit one-sided as I was the one being leant on","helping a customer at work, she put her hand on my arm to make a point in the conversation"
"276",NA,NA,"A welcome","It was from a person who I didn't like and they were unclean","At a BBQ party where I was working as a chef"
"277",NA,NA,"A greeting","Because he asked e to have a drink with him and I'd said no. He was too insistent that I let him buy me a drink, when I didn't want anything to do with him.","At work about to go into a meeting"
"278",NA,NA,"greeting","it was unexpected","in a pub/bar"
"279",NA,NA,"Handshake","i am not used to being touched like this.","At a rooftop terrace bar having drinks"
"280",NA,NA,"For them to touch other parts of me","He stroked my hips, and felt up my backside. Dragged me into a hug that involved me being pulled on top of him. Holding my hand and not letting go and finally kissing me on the lips.","My thighs"
"281",NA,NA,"Greeting",NA,"In brothers kitchen"
"282",NA,NA,"Plutonic sign of affection/comraderie",NA,"Sitting at a table in a meeting room"
"283",NA,NA,"I’m not sure to be honest, I think it was a friendly enough gesture, but it made me feel uncomfortable.",NA,"I was seated at work when a male colleague put his arm across the back of my seat, leaning on it, and his hand touched my shoulder."
"284",NA,NA,"Intention was to just pass by as space was limited",NA,"At a workplace while working in the kitchen at the back"
"285",NA,NA,"Just to act like a bit of a lad",NA,"In a club"
"286",NA,NA,"expression of affection",NA,"laying on his bed"
"287",NA,NA,"Greeting after a long time since we last met",NA,"At a wedding at a Hotel- I did not expect to see hm there."
"288",NA,NA,"Friendly gesture",NA,"When i was at my work sitting on a chair eating"
"289",NA,NA,"To kiss hello in the morning",NA,"In the bedroom when I had got up.  I was standing up my partner came into the bedroom"
"290",NA,NA,"I initiated it to introduce myself to make it courteous.",NA,"I was in the pub sitting down with friends when we were introduced by a friends."
"291",NA,NA,"To be friendly",NA,"In the lunch room at work."
"292",NA,NA,"Probably just to be friendly",NA,"Sitting in a cafe"
"293",NA,NA,"to express affection",NA,"in my back garden, giving a cup of coffee to the workman painting my garden fence"
"294",NA,NA,"Flirting",NA,"We was at a bar with a group of his friends"
"295",NA,NA,"Perhaps to connect and share commonality",NA,"standing in the kitchen looking out at the garden"
"296",NA,NA,"To say thank you",NA,"In a car as the other person was leaving"
"297",NA,NA,"To stop me buying a drink",NA,"In a local pub"
"298",NA,NA,"to get closer",NA,"while working on the street"
"299",NA,NA,"to congratulate on winning",NA,"on a football pitch."
"300",NA,NA,"To feel me up.",NA,"I went to visit a “lonely “  elderly neighbour"
